INDV,O(HOM),E(HOM),N_SITES,F,POP
NS.1781.003.UDP0254_i7---UDP0254_i5.8A22.realigned.bam,5276933,5685962.6,7837914,-0.19007,CMA 8A
NS.1781.003.UDP0255_i7---UDP0255_i5.8A23.realigned.bam,5098909,5103628.8,7047636,-0.00243,CMA 8A
NS.1781.003.UDP0256_i7---UDP0256_i5.8A24.realigned.bam,4972090,4999207.5,6907812,-0.01421,CMA 8A
NS.1781.003.UDP0257_i7---UDP0257_i5.8A26.realigned.bam,4087453,3854939.2,5351294,0.15539,CMA 8A
NS.1781.003.UDP0258_i7---UDP0258_i5.8A27.realigned.bam,5257720,5803740.6,7997197,-0.24893,CMA 8A
NS.1781.003.UDP0259_i7---UDP0259_i5.8A28.realigned.bam,5097417,5978893.6,8233496,-0.39097,CMA 8A
NS.1781.003.UDP0260_i7---UDP0260_i5.8A29.realigned.bam,5228261,5632739.7,7766451,-0.18957,CMA 8A
NS.1781.003.UDP0261_i7---UDP0261_i5.8A30.realigned.bam,5076498,5204363.1,7186919,-0.0645,CMA 8A
NS.1781.003.UDP0262_i7---UDP0262_i5.8A31.realigned.bam,5208089,5884419.5,8106353,-0.30439,CMA 8A
NS.1781.003.UDP0263_i7---UDP0263_i5.LC3.realigned.bam,5134436,5965156.3,8215237,-0.3692,LillyCanyon
NS.1781.003.UDP0264_i7---UDP0264_i5.LC4.realigned.bam,5238987,5588124.9,7706457,-0.16482,LillyCanyon
NS.1781.003.UDP0265_i7---UDP0265_i5.LC31.realigned.bam,5170973,5402433.7,7456370,-0.11269,LillyCanyon
NS.1781.003.UDP0266_i7---UDP0266_i5.LC32.realigned.bam,5232049,5778879.7,7964421,-0.2502,LillyCanyon
NS.1781.003.UDP0267_i7---UDP0267_i5.LC33.realigned.bam,5198032,5874535.7,8093171,-0.30492,LillyCanyon
NS.1781.003.UDP0268_i7---UDP0268_i5.LC34.realigned.bam,5149732,5947350.6,8191313,-0.35545,LillyCanyon
NS.1781.003.UDP0269_i7---UDP0269_i5.LC35.realigned.bam,4965090,5865315.5,8080264,-0.40643,LillyCanyon
NS.1781.003.UDP0270_i7---UDP0270_i5.LC36.realigned.bam,5279779,5757553.8,7934339,-0.21949,LillyCanyon
