PC1,PC2,PC3,PC4,PC5
-0.0148942930354284,0.0244948156410653,0.0163896311310771,-0.0387684837075931,7.45135793263435e-05
-0.0261747456697867,0.038202767593351,0.0107140899342314,-0.00878944830697542,0.0230859183963219
-0.00518376392823921,0.00215333914701259,-0.0329987778700166,0.0207232637700078,0.0234688392064714
-0.0116605503248424,-0.0174858354184635,0.0285735935899183,-0.00822877585988288,0.00698132398672965
-0.0211815292819533,-0.0016591404144739,0.019450507236445,-0.0419042487772889,-0.0374340644205055
0.00779810051276057,-0.0206566781067269,-0.0307724774504878,-0.0375378029377636,0.00276801645770452
-0.0193293068479681,0.0217089473302572,0.0147013632335927,-0.00643121473561067,-0.0333859861738839
0.0162728902613512,0.0363037602933959,0.00797303887570427,0.00350391131937377,-0.0480520660235211
0.00904395723464374,0.00131971739268026,-0.0390808559888954,0.0332905168409941,-0.0111462759006556
-0.0171400452290782,-0.0142968923982587,0.0247099502054938,0.0316172076018118,-0.0614181160217192
0.00166489977391393,0.0130042644294998,-0.0375328605340969,0.0146053157215697,0.0202869150040633
-0.0433146528636166,-0.0355633623384903,-0.0362244980144373,0.047560490743752,0.0270640210218095
-0.0110483325653049,-0.00210587413117985,0.023202757648248,-0.003545098927741,0.0186673298554506
0.0104492968256178,-0.014339643396403,-0.0382289126165876,-0.0231731377705985,-0.024974524175076
-0.00219375447152859,0.0158371836569251,0.0133999134150686,0.00635504446387017,-0.00174835443935037
7.65402733918089e-05,0.0035751467126344,-0.0300863120172636,0.048198583770906,-0.00920821504117207
-0.0648032387422966,-0.00717716711674435,0.0169854952358405,0.0180184338132784,-0.0667361856642466
-0.0194453671722527,0.0160858055259694,0.0135298349876886,-0.0315848854178888,-0.0258849374961403
-0.0164631732864597,-0.0592941273549814,0.0359860725903384,0.00818627380924087,-0.0333997288867026
-0.0133309155958517,-0.0133423692756343,0.0227143611578394,0.00449851787807818,0.0196967876259446
-0.0242246670092669,-0.00538889592968342,0.0236270407388582,-0.0182726489352961,-0.0226578392177997
-0.0405106230464504,-0.111147427165553,-0.0190031249398303,0.0151905859332845,-0.0402085337065403
0.0195313196581847,-0.00294309534806423,-0.033847596187372,-0.000752044268750251,-0.0279957773349486
-0.00166250961341845,0.00953434427048842,0.0178688928448083,0.0107268817935217,0.0107560278440619
-0.0366395439258264,-0.0116215461052058,0.0208453282145808,0.0112282903910445,0.068878706299898
-0.0410117812358093,-0.016464190400277,0.0212168087975073,0.026494419922619,0.0386417160015303
-0.0324347945774562,0.00278748960166407,0.0188015077635268,0.0128010747011333,0.0610126579853425
0.00208113780707641,0.0240460732824555,0.016269087585095,0.00402597370390681,0.0117090014382835
0.00484775685418989,0.023510115110061,0.0144359485999018,-0.00535091941112856,0.0275091644894601
0.016206640746101,0.0210264477188524,-0.0311449295364562,0.0149986240073876,-0.00822233675520942
-0.0290342843341599,0.0016572677293881,0.0190336691495768,-0.0641689238944906,-0.0142053657552506
