IID	Sample_ID	Poolseq_ID_2020	Population	Location	Sex	Latitude	Longitude	Date collected	gDNA plate ID	UD_i7.x	UD_i5.x	Depth.x	Location.x	PCadapt1	PCadapt2	PCadapt3	PCadapt4	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NS.1794.004.UDP0173_i7---UDP0173_i5.WCB_F_37.realigned.bam	WCB_F_37		Western Cape Breton_Female	Gulf	Female	46.533444	-61.382528	2021		UDP0173_i7	UDP0173_i5		Maritimes	0.0460693110902467	-0.000503529915708983	0.013686526579281	0.0034825659897622	0.0356120720783624	0.020715674961852	-0.0123041618275721	0.0274775398336537	0.0197798713086931	-0.0108690399246212	-0.012831208076169	0.0206593513546493	0.0173893194555361	0.0150406837644765
NS.1794.004.UDP0174_i7---UDP0174_i5.WCB_F_38.realigned.bam	WCB_F_38		Western Cape Breton_Female	Gulf	Female	46.533444	-61.382528	2021		UDP0174_i7	UDP0174_i5		Maritimes	0.0158113696726955	-0.0149009053760311	0.00907603700260986	0.0110209141180943	0.0104822231761273	0.0190152375834053	-0.0182972429480062	0.0248628902898161	-0.0237377658763576	-0.00235390806477733	-0.0170957401683022	0.0126618805779568	0.0143221702435552	-0.0179700329273523
NS.1794.004.UDP0175_i7---UDP0175_i5.WCB_F_39.realigned.bam	WCB_F_39		Western Cape Breton_Female	Gulf	Female	46.533444	-61.382528	2021		UDP0175_i7	UDP0175_i5		Maritimes	0.02182240793055	-0.0226925107359598	0.0142750958604108	0.00905552684973948	0.00919387137312589	0.0164656860610983	-0.0276605603877837	0.0206829947212212	-0.0329750325863122	4.41391960517368E-05	0.0104666317875278	-0.0243819787902361	-0.00859939859294247	-0.0236574322287931
NS.1794.004.UDP0176_i7---UDP0176_i5.WCB_F_40.realigned.bam	WCB_F_40		Western Cape Breton_Female	Gulf	Female	46.533444	-61.382528	2021		UDP0176_i7	UDP0176_i5		Maritimes	0.00136776051721035	-0.062138266062824	-0.0270628559170195	-0.000822371867867464	-0.00823457508758781	-0.0463664552844118	-0.0569299251246725	0.0128850908976721	0.0159355673873259	-0.00720550495764742	0.0260001051744564	-0.0151424660395845	0.00453976792223642	-0.0056113178165675
NS.1794.004.UDP0177_i7---UDP0177_i5.WCB_F_41.realigned.bam	WCB_F_41		Western Cape Breton_Female	Gulf	Female	46.533444	-61.382528	2021		UDP0177_i7	UDP0177_i5		Maritimes	0.0336348087908851	-0.048716419129307	-0.0230256750336549	0.00582578308996475	0.0186754754560076	-0.0395473933150191	-0.0532346255986444	0.015749497309747	0.0147400375297932	0.0158801838188599	-0.0116115095071717	-0.012741682813972	-0.0171262680242534	-0.0045206572512002
NS.1794.004.UDP0178_i7---UDP0178_i5.WCB_F_42.realigned.bam	WCB_F_42		Western Cape Breton_Female	Gulf	Female	46.533444	-61.382528	2021		UDP0178_i7	UDP0178_i5		Maritimes	0.0148559964875998	-0.0180139233355938	0.013535099331979	0.00884173607492419	0.00301543690797349	0.00910366500971118	-0.0164793206357195	0.0144758812681273	-0.00622337916511463	0.0118636680932678	0.0200105387780153	-0.0283669077669471	0.0248818139614389	-0.0211884526184081
NS.1794.004.UDP0179_i7---UDP0179_i5.WCB_F_43.realigned.bam	WCB_F_43		Western Cape Breton_Female	Gulf	Female	46.533444	-61.382528	2021		UDP0179_i7	UDP0179_i5		Maritimes	0.0303435520048003	-0.0512912900253951	0.0213524336763824	0.00968312859157976	0.0121622000428705	0.0134574948550664	-0.054038680493721	0.0131650864144265	0.0307464356569782	-0.00391947012852249	0.00743281486628008	0.00817884711990172	0.0105499838136665	0.0218875994089166
NS.1794.004.UDP0180_i7---UDP0180_i5.WCB_F_44.realigned.bam	WCB_F_44		Western Cape Breton_Female	Gulf	Female	46.533444	-61.382528	2021		UDP0180_i7	UDP0180_i5		Maritimes	-0.0180425877791118	-0.0465987774783572	0.0166474462476367	0.00361268808098561	-0.024270902580367	0.00764300429966375	-0.0454326095685518	0.0211665361839212	0.0389881953042874	-0.0334928381638993	0.0119070066565572	0.010004244310342	0.0129005829675209	0.000947341099196627
NS.1794.004.UDP0181_i7---UDP0181_i5.WCB_F_45.realigned.bam	WCB_F_45		Western Cape Breton_Female	Gulf	Female	46.533444	-61.382528	2021		UDP0181_i7	UDP0181_i5		Maritimes	-0.011099560129633	-0.027927909711159	-0.0279147533036597	-0.0106007355150062	-0.00941011615066888	-0.0417200161531566	-0.0195148393307404	0.00250204057530619	-0.0524565076135451	0.0177869777805017	-0.00548500301290059	0.0148366139497296	-0.0373469079682183	0.0541366828823613
NS.1794.004.UDP0182_i7---UDP0182_i5.WCB_F_46.realigned.bam	WCB_F_46		Western Cape Breton_Female	Gulf	Female	46.533444	-61.382528	2021		UDP0182_i7	UDP0182_i5		Maritimes	-0.00893243553709128	-0.0558070907562692	0.00797535282785082	0.0139135675498198	-0.0161412689691366	0.00115525352651501	-0.0533729534500067	-0.0169342359597264	-0.0149048618504119	0.0182910434027748	0.0170350292070088	-0.0165104486270258	-0.00687029674421054	-0.00942710067836023
