Missing data from input file 30kSNPs_genepop_mod.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [NS.1780.003.UDP0195_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
      17          108           000000           339
      18           58           000000           358
      19           76           000000           851
      20           41           000000          3079
      21           28           000000          2370
      22           51           000000           801
      23           47           000000           874
      24           49           000000          1822
      25           77           000000           992
      26           18           000000          3252
      27           58           000000          3274
      28           10           000000          8403
      29           10           000000           675
      30           76           000000           221
      31           42           000000          1154
      32            1           000000          2549
      33           29           000000           468
      34           11           000000          1366
      35          104           000000           549
      36           18           000000          1906
      37           52           000000          1290
      38           21           000000          5680
      39           46           000000          1999
      40           75           000000           800
      41           43           000000          1392
      42           48           000000           553
      43           11           000000          1057
-----------------------------------------------------------
Total missing data for population   13:        65754

Population 14 [NS.1781.004.UDP0097_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           42           000000          2531
       2           76           000000           785
       3           44           000000          1954
       4           49           000000          2564
       5          112           000000           257
       6           59           000000           352
       7           45           000000           638
       8          477           000000           201
       9            1           000000          2188
      10           28           000000           825
      11           37           000000          1311
      12           37           000000          2020
      13           94           000000           581
      14           37           000000           745
      15          143           000000           616
      16           76           000000           521
      17           42           000000           910
      18           67           000000          1571
      19           43           000000           827
      20          144           000000           896
      21           11           000000           359
      22            4           000000          4343
      23           28           000000          1551
      24          210           000000           326
      25           45           000000           870
      26           43           000000          1929
      27          160           000000           973
      28           31           000000           614
      29           59           000000          1225
      30           28           000000           272
      31           28           000000          1661
      32           48           000000          2248
      33           64           000000          1056
-----------------------------------------------------------
Total missing data for population   14:        39720

Population 15 [NS.1781.004.UDP0132_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           42           000000          2309
       2           42           000000           780
       3           31           000000          1290
       4          108           000000           497
       5           59           000000           592
       6           24           000000          1495
       7           45           000000           713
       8           55           000000          2024
       9          108           000000           776
      10           59           000000           294
      11           28           000000          2895
      12           44           000000           743
      13           45           000000           453
      14          117           000000          1264
      15           51           000000           233
      16           28           000000           697
      17           72           000000           630
      18          222           000000            76
      19          112           000000           288
      20          553           000000           104
      21          204           000000            94
      22            1           000000          5542
      23           63           000000          1345
      24          211           000000           325
      25            3           000000          1462
      26          149           000000           123
      27           67           000000           577
      28          143           000000           283
      29           52           000000           190
      30            4           000000          1684
      31           28           000000           953
      32           10           000000          1102
      33           38           000000          1768
      34           83           000000           471
      35          299           000000           140
-----------------------------------------------------------
Total missing data for population   15:        34212

Population 16 [NS.1781.004.UDP0167_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           59           000000           492
       2           65           000000           645
       3           10           000000          1824
       4           46           000000           814
       5           83           000000           746
       6            8           000000          1424
       7          210           000000           207
       8           68           000000           929
       9          203           000000           263
      10           46           000000           872
      11            8           000000          5973
      12           26           000000          3950
      13          104           000000           978
      14           10           000000          2105
      15          184           000000           376
      16          373           000000           373
      17           76           000000           727
      18           67           000000           478
      19           56           000000          1350
      20           46           000000          1601
      21           28           000000          1507
      22           82           000000          1205
      23           59           000000          1226
      24           28           000000           753
      25           63           000000           632
      26          371           000000           281
      27           38           000000          1069
      28           55           000000          1527
      29          116           000000           290
      30           45           000000           984
      31          119           000000           492
      32           83           000000           732
      33           45           000000          1819
      34           47           000000           868
-----------------------------------------------------------
Total missing data for population   16:        39512

Population 17 [NS.1789.002.UDP0107_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           60           000000          1377
       2           67           000000           795
       3           46           000000          1455
       4           47           000000           537
       5           31           000000           334
       6           48           000000          2137
       7           47           000000           420
       8          112           000000           368
       9          284           000000           184
      10           42           000000           824
      11           76           000000           718
      12           48           000000           165
      13          113           000000           810
      14           48           000000           506
      15          170           000000           300
      16           52           000000            98
      17          125           000000           216
      18          119           000000          1347
      19          126           000000          1241
      20           60           000000           775
      21           76           000000          1197
      22          371           000000            77
      23          156           000000           469
      24           83           000000           829
      25           31           000000           473
      26           31           000000          1430
      27           46           000000           399
-----------------------------------------------------------
Total missing data for population   17:        19481

Population 18 [NS.1789.002.UDP0142_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           48           000000           376
       2          169           000000           260
       3          119           000000           697
       4           64           000000           286
       5           74           000000           235
       6           37           000000           664
       7           76           000000           369
       8          119           000000           133
       9          119           000000           399
      10          275           000000            71
      11           38           000000           341
      12           11           000000          1103
      13           82           000000           468
      14          177           000000           219
      15           75           000000           803
      16          182           000000           370
      17           55           000000           445
      18           40           000000           562
      19          149           000000           344
      20           28           000000           810
      21           45           000000           711
      22           52           000000           288
      23           37           000000          1312
      24           65           000000          1605
      25           60           000000           337
      26           48           000000           649
      27           28           000000          3215
      28          115           000000           776
      29           47           000000           373
      30          108           000000          1021
      31          115           000000           717
      32           75           000000           776
      33            3           000000           570
      34          112           000000           919
      35           41           000000          1193
-----------------------------------------------------------
Total missing data for population   18:        23417

Population 19 [NS.1789.002.UDP0177_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1          160           000000          1468
       2           58           000000          1642
       3          108           000000           839
       4           28           000000           419
       5          170           000000           646
       6           51           000000           970
       7          108           000000           677
       8           11           000000          3521
       9           47           000000           712
      10          170           000000           502
      11          174           000000           477
      12           47           000000          1487
      13            6           000000          6319
      14           28           000000          1581
-----------------------------------------------------------
Total missing data for population   19:        21260

Population 20 [NS.1792.004.UDP0193_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           49           000000           805
       2          105           000000          1046
       3           46           000000          1068
       4           38           000000           764
       5           76           000000           599
       6          108           000000           807
       7          654           000000            72
       8           76           000000          1398
       9           41           000000           370
      10           76           000000           487
      11           48           000000           734
      12           56           000000           395
      13          149           000000           581
      14           48           000000           954
      15           11           000000           843
      16            4           000000          3012
      17          152           000000           152
      18            2           000000          1284
      19           58           000000           637
      20           31           000000          1215
      21           59           000000           794
      22          143           000000           431
      23          152           000000           226
      24           28           000000           576
      25           45           000000           370
      26           62           000000          1656
      27           47           000000          1019
      28           45           000000          2619
      29            4           000000           899
      30           81           000000          1428
      31           55           000000           366
      32          150           000000           734
      33           59           000000          1048
      34           45           000000          1919
      35           82           000000           781
      36           45           000000           979
      37           60           000000           606
      38          257           000000            79
      39          204           000000           213
      40           45           000000           535
      41           52           000000           538
      42           31           000000           727
      43           28           000000          8037
      44           83           000000           645
      45           40           000000          1680
-----------------------------------------------------------
Total missing data for population   20:        46128

Population 21 [NS.1792.004.UDP0289_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           47           000000           870
       2           55           000000           567
       3           46           000000           491
       4           47           000000           531
       5           48           000000           454
       6          141           000000           248
       7           63           000000          1003
       8          163           000000           815
       9           43           000000          1304
      10           56           000000           922
      11           11           000000          2481
      12           67           000000          1678
      13            3           000000          2962
      14           41           000000          1302
      15           47           000000          3292
      16          153           000000           270
      17           82           000000           104
      18          184           000000           258
      19           48           000000          1078
      20           76           000000           418
      21           46           000000           426
      22          108           000000           160
      23          300           000000           346
      24          514           000000            57
      25          477           000000           149
      26           45           000000           341
      27           28           000000          1291
-----------------------------------------------------------
Total missing data for population   21:        23818

Population 22 [NS.1794.002.UDP0097_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           29           000000          3313
       2            9           000000          2550
       3           43           000000          4376
       4           28           000000          3756
       5           11           000000          2400
       6            6           000000          4044
       7           10           000000          2497
       8           29           000000          3708
       9            4           000000          1707
      10            1           000000          4846
      11           43           000000          1624
      12           41           000000          1911
      13           37           000000          2944
      14           10           000000          3514
      15           41           000000          3076
      16           83           000000          1071
      17           85           000000          1723
      18            3           000000          1240
      19           46           000000          1424
      20          117           000000           213
-----------------------------------------------------------
Total missing data for population   22:        51937

Population 23 [NS.1794.002.UDP0117_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           37           000000          2175
       2            2           000000          5882
