Missing data from input file random_001_snps_Genepop.txt.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [NS.1780.003.UDP0195_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
      16            8           000000            90
      17           52           000000            23
      18            4           000000           100
      19           85           000000            34
      20           62           000000            52
      21          170           000000            32
      22          764           000000             8
      23           99           000000            73
      24           75           000000            35
      25           17           000000           124
      26            4           000000           111
      27           17           000000            74
      28            9           000000            84
      29           36           000000            38
      30           23           000000            34
      31            8           000000            24
      32            7           000000            80
      33            2           000000           370
      34           12           000000           122
-----------------------------------------------------------
Total missing data for population   10:         2038

Population 11 [NS.1781.002.UDP0233_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            4           000000            41
       2           40           000000            70
       3            4           000000            50
       4           11           000000            64
       5            4           000000            52
       6           31           000000            43
       7          107           000000            46
       8           69           000000            30
       9           57           000000            21
      10           85           000000            12
      11           42           000000            34
      12           48           000000            45
      13            4           000000            23
      14           30           000000            13
      15          112           000000            30
      16          140           000000            11
      17          278           000000             4
      18           13           000000           135
      19           51           000000            75
      20            4           000000            18
      21            8           000000            53
      22           17           000000            34
      23           17           000000            39
      24           93           000000            17
      25            4           000000            76
      26            4           000000           139
      27           79           000000            21
      28          161           000000            23
      29           32           000000            97
      30            5           000000           457
      31            7           000000            41
      32            9           000000            73
      33           15           000000           298
      34           79           000000            35
      35           39           000000            80
-----------------------------------------------------------
Total missing data for population   11:         2300

Population 12 [NS.1781.003.UDP0193_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            4           000000           135
       2           67           000000            70
       3           22           000000            56
       4          113           000000            32
       5            8           000000            36
       6           31           000000            39
       7            8           000000            48
       8          139           000000            27
       9            1           000000           173
      10           10           000000            24
      11           11           000000            43
      12          139           000000            32
      13            9           000000            31
      14           52           000000            36
      15           15           000000            20
      16           17           000000            17
      17            9           000000           173
      18           13           000000            55
      19           31           000000            82
      20          264           000000            12
      21           57           000000            16
      22           68           000000            11
      23           30           000000            21
      24           21           000000           224
      25            4           000000           366
      26           30           000000            29
      27          170           000000            26
      28           21           000000            49
      29           40           000000            35
      30           32           000000            88
      31            8           000000            55
      32           20           000000           167
      33            5           000000           101
      34           30           000000            87
-----------------------------------------------------------
Total missing data for population   12:         2416

Population 13 [NS.1781.003.UDP0228_i7---UDP0]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           79           000000            35
       2            5           000000            34
       3           35           000000            36
       4           42           000000            38
       5           40           000000            49
       6          108           000000            54
       7          173           000000            16
       8            4           000000            72
       9            7           000000           134
      10           30           000000            42
      11           23           000000            35
