,site,season,prec_lower,prec_upper,mean,min,max,sd
32,Fortune_Bay,Winter,2.24478898197412,4.47752313315868,3.21605653102909,1.25843075662851,5.37623219937086,NA
33,Labrador_2420,Fall,4.08476212397218,6.37203895524144,5.25730767175555,1.54335156083107,8.79747918248177,NA
34,Labrador_2420,Spring,0.867305539548397,2.99432357400656,1.83281235662954,-1.18720051646233,4.65330974757671,NA
35,Labrador_2420,Summer,4.06679282560945,6.35968506261706,5.25391401350498,1.81948303431273,9.59584338963032,NA
36,Labrador_2420,Winter,-0.966002359986305,0.967406250536442,-0.0156036583440644,-1.37470623850822,3.41547900438309,NA
37,Labrador_6222,Fall,1.26507158428431,2.4437208339572,1.8768944542855,-0.440839849412441,4.06881925463676,NA
38,Labrador_6222,Spring,-1.11127046495676,1.13708916306496,0.0850841706352574,-1.63325905054808,2.67424544692039,NA
39,Labrador_6222,Summer,-0.444819463044405,1.35421004667878,0.501852492615581,-1.23920405656099,1.92495500296354,NA
40,Labrador_6222,Winter,-0.903012156486511,1.78774378448725,0.382613479026726,-1.49116487056017,3.92379529774189,NA
41,LilyCanyon,Fall,0.668935228139162,2.72026735916734,1.69798274450004,-0.32584610581398,3.58540606498718,NA
42,LilyCanyon,Spring,0.795281857252121,3.64912871271372,1.88435085277472,0.00375379621982574,5.88088627159595,NA
43,LilyCanyon,Summer,0.924655922502279,2.6311044819653,1.96013674065471,-0.102450616657734,4.39768671244383,NA
44,LilyCanyon,Winter,1.40882597118616,2.73088780045509,2.06863033239331,-0.385174088180065,5.0913113951683,NA
45,ManagementArea_4,Fall,2.3954039297998,3.70813930258155,3.10757165886462,2.10000917315483,4.04025392979383,NA
46,ManagementArea_4,Spring,2.48454239219427,3.34394361823797,2.90143685734698,1.90737634152174,4.1149632409215,NA
47,ManagementArea_4,Summer,2.12984406799078,3.16039309501648,2.68556171022356,1.3580431714654,4.20212410390377,NA
48,ManagementArea_4,Winter,2.66936248540878,3.55269022285938,3.14250982978514,1.58510088175535,3.97140417248011,NA
49,MaritimeB,Fall,2.1409528054297,4.26723839566112,3.34539629928768,1.17786189168692,6.25296793878078,NA
50,MaritimeB,Spring,1.62367627769709,5.10742516815662,2.99110895767808,1.07165747880936,5.90652181953192,NA
51,MaritimeB,Summer,2.42863248288631,5.0964385047555,3.54896696470678,1.36756494641304,6.57670828700066,NA
52,MaritimeB,Winter,2.38468582928181,4.82689902931452,3.24392428994179,0.927365966141224,5.20484025031328,NA
53,MaritimeC,Fall,3.09222695231438,5.73132116049528,4.20563983619213,2.09268473088741,7.74568927288055,NA
54,MaritimeC,Spring,1.39100316166878,3.85274820774794,2.42813256063632,0.0535600036382675,5.5732596963644,NA
55,MaritimeC,Summer,1.88940704315901,5.29026766195893,3.31180152408779,0.94201485067606,6.51078830659389,NA
56,MaritimeC,Winter,1.95156714320183,4.22385328263044,3.09090157704694,-0.316324330866337,7.76766259968281,NA
57,MaritimeD,Fall,3.25302287489176,6.07491074725986,4.56400038152933,2.08975495398045,9.89394818991423,NA
58,MaritimeD,Spring,1.66518145054579,6.28324230015278,3.41399667678135,0.687124259769917,7.50544756650925,NA
59,MaritimeD,Summer,2.28272959291935,5.45709404200316,3.54644003212452,0.791131339967251,6.76860867440701,NA
60,MaritimeD,Winter,2.76409193873405,5.79372540861368,4.4307048331414,1.39759515970945,9.73867001384497,NA
61,MaritimeE,Fall,3.32336193546653,6.98426466956735,5.15175025127828,1.34119695425034,12.3666798993945,NA
62,MaritimeE,Spring,2.77556689828634,8.69469284266233,5.8435548682298,1.12805568426847,10.5172582268715,NA
63,MaritimeE,Summer,3.7270851932466,9.21367840692401,6.00733055993915,1.50892668217421,12.855952642858,NA
