SampleSite	Code	Rpop	Lat	Long	lon GLORYS	lat GLORYS	Distance (km)	GLORYS bottom level	GLORYS depth (m)	netCDF file	spring_sal	summer_sal	fall_sal	winter_sal	winter_temp_min	winter_temp_mean	spring_temp_min	spring_temp_mean	summer_temp_mean	summer_temp_max	fall_temp_min	fall_temp_max
MaritimeE	ME	Mar E	44.0905	-59.24933	-59.25	44.0833	0.798	22	104.1	locations_nc/GLORYS_monthly_MaritimeE_1993_2024.nc	33.7363592847916	33.7355418247171	33.4408856160007	33.7437103702022	1.84951324760914	5.82223260296243	1.12805568426847	5.8435548682298	6.00733055993915	12.855952642858	1.34119695425034	12.3666798993945
NAFO 4X	4X	NAFO 4X	44.28166667	-63.73833333	-63.75	44.25	3.64	22	105	locations_nc/GLORYS_monthly_NAFO_4X_1993_2024.nc	32.5172659375572	32.9481388488784	32.8170109866187	32.25217877355	-0.095858618617058	3.60826297530106	0.690786480903625	3.40023137575814	4.30565509535372	8.02914518862963	2.553392149508	8.83703117072582
NL10B	10B	CMA 10B	46.33	-55.99	-56	46.3333	0.854	24	143.3	locations_nc/GLORYS_monthly_NL10B_1993_2024.nc	32.6596856483125	32.7835169225	32.8501490014605	32.7557584004743	-1.23993650078773	0.133129024079868	-0.960875250399113	0.156491669693163	0.469075613468885	3.72457046806812	-0.764580197632313	5.8764916062355
NL3B	3B	CMA 3B	50.33	-56.04	-56	50.3333	2.872	28	297	locations_nc/GLORYS_monthly_NL3B_1993_2024.nc	33.7103216676041	33.7462233030237	33.651590491645	33.6357329772519	-0.486983835697174	0.373533495834896	-0.915463708341122	0.563393502895321	0.367827406525612	1.77407149225473	-1.14398630708456	1.40931426733732
NL3D	3D	CMA 3D	49.738333	-54.999333	-55	49.75	1.299	28	315.1	locations_nc/GLORYS_monthly_NL3D_1993_2024.nc	34.0932199664946	34.1020691231824	33.9525538589805	33.8933479506522	-0.158848822116852	1.02945474003043	-0.427655853331089	1.67658084045563	1.56456802859902	2.7408978715539	-0.310464777052402	2.42594685405493
NL6B	6B	CMA 6B	47.95	-52.84	-52.8333	47.9167	3.739	25	161	locations_nc/GLORYS_monthly_NL6B_1993_2024.nc	33.105643422875	33.143584469799	33.1309192883782	33.0195739599211	-0.826105512678623	0.130989821893828	-1.20844139903784	-0.253770106072937	-0.669069470465183	0.444685220718384	-1.50361642241478	0.488631874322891
Northeast Nova Scotia	NENS	NENSin	46.49413333	-60.23333333	-60.25	46.5	1.436	21	86.9	locations_nc/GLORYS_monthly_Northeast_Nova_Scotia_1993_2024.nc	32.4097487443526	32.6193782058544	32.2973316349089	31.777688614758	-0.749931313097477	1.45205180666276	-0.622486017644405	1.16560798351254	1.59264505729079	3.13568530976772	0.341410584747791	5.38062686473131
Northeast Nova Scotia outer	NENS_out	NENSout	46.389694	-59.129889	-59.1667	46.4167	4.122	26	209.1	locations_nc/GLORYS_monthly_Northeast_Nova_Scotia_�_outer_1993_2024.nc	34.273896808736	34.3509984319098	34.2792036384344	34.2145673731076	3.36347546428442	5.6269606468933	3.6242256090045	5.74171024241618	6.22022768184543	8.32798243314028	3.61104161292315	8.60338146239519
Offshore Newfoundland	CPS	NAFO 3L	46.948	-47.938167	-47.9167	46.9167	3.849	24	133.7	locations_nc/GLORYS_monthly_Offshore_Newfoundland_1993_2024.nc	33.6058199937855	33.5140283103101	33.6283455602825	33.7372675737632	-0.872249498963356	0.841716496007783	-0.673024669289589	0.638870136546237	0.094112998992205	1.66493730247021	-1.13959164172411	2.08389540016651
Quebec	Q	Quebec	48.901983	-68.112639	-68.0833	48.9167	2.698	27	256	locations_nc/GLORYS_monthly_Quebec_1993_2024.nc	34.1985209346084	34.2117068683729	34.2073579807766	34.184945042112	3.67036959528923	4.77917389358793	3.7172460258007	4.81888283416629	4.82610554806888	5.96218758076429	3.69014558941126	6.18631551414728
St Marys Bay	SMB	St Marys Bay	46.84	-53.85	-53.8333	46.8333	1.472	23	113	locations_nc/GLORYS_monthly_St_Marys_Bay_1993_2024.nc	32.2633810042004	32.3987039504573	32.375865932554	32.2599537271474	-0.575609587132931	1.16474765219859	-0.848811283707619	0.223074337733643	0.541355651244521	1.81289103627205	-0.1947385892272	2.81414229422808
Torngat 2N5440	T	CMA N5440	55.17	-57.49	-57.5	55.1667	0.737	28	283	locations_nc/GLORYS_monthly_Torngat_2N5440_1993_2024.nc	33.9907782920636	34.2862483276986	34.2400890821591	34.0439822268672	-0.358073651790619	1.37597584761679	-1.55635240674019	0.811407837644219	1.72966095730662	5.11914427578449	0.003753796219826	4.83935058116913
Trinity Bay	TB	Trinity Bay	48.1785	-53.327167	-53.3333	48.1667	1.393	27	228.7	locations_nc/GLORYS_monthly_Trinity_Bay_1993_2024.nc	33.6854587708201	33.7980539049022	33.5995564330369	33.5783048932041	-1.43989377468824	0.006265033568655	-0.731620207428932	0.582524248531887	0.782390838861465	2.07657095789909	-1.70284125208855	1.54261911660433
Western Cape Breton	WCB	West Cape Breton	46.53343333	-61.38253333	-61.4167	46.5	4.547	20	66.4	locations_nc/GLORYS_monthly_Western_Cape_Breton_1993_2024.nc	32.4184319869216	32.5237535429187	32.2368795541115	31.7930931957173	-1.3900875672698	1.95219495253904	-1.29853203892708	1.25640200238143	1.34399244971573	2.8793298304081	0.251319944858551	4.88695945590734
